rank,name,price,1h_change,24h_change,7d_change,market_cap,volume_24h,circulating_supply,page
115,Ethereum Name ServiceENS,$10.29,0.19%,1.51%,1.87%,"$393.26M$393,258,986","$22,769,9932.21M",38.19M ENS,2
116,Bitcoin SVBSV,$19.51,0.29%,0.09%,0.84%,"$390.16M$390,160,418","$8,641,132442.74K",19.97M BSV,2
117,GnosisGNO,$147.32,0.16%,0.80%,5.97%,"$388.82M$388,819,565","$5,934,26840.28K",2.63M GNO,2
118,Pyth NetworkPYTH,$0.06581,0.81%,1.06%,3.19%,"$378.46M$378,459,748","$13,431,226204.06M",5.74B PYTH,2
119,dogwifhatWIF,$0.3769,0.13%,2.38%,1.61%,"$376.5M$376,496,066","$63,573,117168.65M",998.83M WIF,2
120,ZKsyncZK,$0.03434,0.07%,3.10%,0.50%,"$366.43M$366,430,252","$18,666,819543.48M",10.66B ZK,2
121,KaiaKAIA,$0.05831,0.03%,1.35%,10.11%,"$362.8M$362,799,590","$10,651,021182.65M",6.22B KAIA,2
122,AINFTNFT,$0.063609,0.05%,0.00%,1.93%,"$360.93M$360,926,143","$11,925,29833.04T",999.99T NFT,2
123,JUSTJST,$0.04065,0.75%,0.82%,1.72%,"$358.37M$358,368,243","$21,032,357517.35M",8.81B JST,2
124,GalaGALA,$0.007593,0.20%,0.56%,5.85%,"$357.46M$357,460,551","$103,327,00413.59B",47.07B GALA,2
125,EURCEURC,$1.15,0.01%,0.05%,0.34%,"$355.53M$355,531,830","$10,388,3438.96M",306.75M EURC,2
126,PendlePENDLE,$2.09,0.27%,1.23%,2.52%,"$354.6M$354,599,743","$21,142,87310.08M",169.08M PENDLE,2
127,TelcoinTEL,$0.003655,0.30%,3.12%,1.97%,"$347.98M$347,978,521","$1,389,687379.06M",95.18B TEL,2
128,FartcoinFARTCOIN,$0.3419,0.73%,8.21%,11.42%,"$341.98M$341,981,836","$60,002,307175.45M",999.99M FARTCOIN,2
129,Zebec NetworkZBCN,$0.003389,0.31%,4.50%,14.95%,"$332.01M$332,008,089","$11,373,1553.35B",97.95B ZBCN,2
130,Axie InfinityAXS,$1.97,1.24%,18.40%,105.26%,"$332.22M$332,224,031","$1,161,146,956588.84M",168.24M AXS,2
